,BIEN_SERVICIO,COSTO_BIEN,ESTADO_PROCESAL,ESTADO_UA,FECHA_FIN,FECHA_INGRESO,GIRO,ID_EXP,MEDIO_INGRESO,MODALIDAD_COMPRA,MODALIDAD_PAGO,MOTIVO_RECLAMACION,NOMBRE_COMERCIAL,PROBLEMA_ESPECIAL,PROCEDIMIENTO,PROVEEDOR,RECLAMADO,RECUPERADO,SECTOR,TIPO_CONCILIACION,TIPO_PRODUCTO,TIPO_RECLAMACION,UA
10,Bien,71000,Conciliada,DISTRITO FEDERAL,14-03-2016,30-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas usados,2015_138092,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"AUTO AZCA, SA DE CV",No problema especial,Queja,"AUTO AZCA, SA DE CV",71000,71000,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
11,Bien,540,Conciliada,DISTRITO FEDERAL,07-04-2016,30-12-2015,Empresas purificadoras de agua,2015_132576,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"BONAFONT, SA DE CV",No problema especial,Queja,"BONAFONT, SA DE CV",540,540,EMPRESAS PURIFICADORAS DE AGUA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Centro
12,Bien,4169,Conciliada,DISTRITO FEDERAL,25-01-2016,30-12-2015,Ventas por internet,2015_139447,Personal,Por internet,Contado,Negativa a cambio o devolución,MERCADOLIBRE,No problema especial,Queja,"MERCADOLIBRE, S DE RL DE CV",4169,4169,VENTAS POR INTERNET,Turnada a Concil Person p/seg,Servicio normal,"Cambios, devoluciones o bonificaciones",Sur
13,Servicio,500000,Conciliada,DISTRITO FEDERAL,29-04-2016,30-12-2015,Compañía de autofinanciamiento,2015_137723,Escrito,En establecimiento físico,Plazos,Descripción del producto o servicio,"PLANEA TU BIEN, SA DE CV",No problema especial,Queja,"PLANEA TU BIEN, SA DE CV",575653.7,575653.7,COMPAÑÍA DE AUTOFINANCIAMIENTO,Turnada a Concil Person p/seg,Servicio normal,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
14,Bien,3500,Conciliada,DISTRITO FEDERAL,18-05-2016,30-12-2015,Tienda especializada en colchones y camas,2015_137722,Personal,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,"SEALY MATTRESS COMPANY MEXICO, S DE RL DE CV",No problema especial,Queja,"SEALY MATTRESS COMPANY MEXICO, S DE RL DE CV",3500,3500,TIENDA ESPECIALIZADA EN COLCHONES Y CAMAS,Turnada a Concil Person p/seg,Servicio normal,Garantías,Oriente
15,Servicio,500000,Conciliada,DISTRITO FEDERAL,29-04-2016,30-12-2015,Gestoría,2015_137723,Escrito,En establecimiento físico,Plazos,Descripción del producto o servicio,"KESAFIM, S DE RL DE CV",No problema especial,Queja,"KESAFIM, S DE RL DE CV",575653.7,575653.7,GESTORÍA,Turnada a Concil Person p/seg,Servicio normal,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
16,Bien,1200,Conciliada,DISTRITO FEDERAL,11-05-2016,30-12-2015,Taller de reparación y mantenimiento de equipo electrónico,2015_139452,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,CARLOS ARTURO PAEZ ARNESEN,No problema especial,Queja,CARLOS ARTURO PAEZ ARNESEN,0,1900,TALLER DE REPARACIÓN Y MANTENIMIENTO DE EQUIPO ELECTRÓNICO,Turnada a Concil Person p/seg,Producto usado,Entrega del producto o servicio,Sur
17,Servicio,507,Conciliada,DISTRITO FEDERAL,20-04-2016,30-12-2015,Suministrador de energía eléctrica,2015_139456,Personal,En establecimiento físico,Contado,Error de cálculo,CFE,No problema especial,Queja,COMISION FEDERAL DE ELECTRICIDAD,0,507,ELECTRICIDAD,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
18,Bien,30953.1,Conciliada,DISTRITO FEDERAL,03-05-2016,30-12-2015,Tienda departamental,2015_138095,Personal,Por internet,Contado,Incumplimiento de plazos para la entrega del prod. o serv.,EL PALACIO DE HIERRO,No problema especial,Queja,"EL PALACIO DE HIERRO, SA DE CV",0,0,TIENDA DEPARTAMENTAL,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
19,Servicio,1149,Conciliada,DISTRITO FEDERAL,08-06-2016,30-12-2015,"Compañías especializadas en servicios financieros, de seguro y de viajes",2015_139460,Personal,En establecimiento físico,Contado,Negativa a corregir errores de cobro,BRADESCARD,No problema especial,Queja,"BRADESCARD MEXICO, S DE RL",0,4000,"COMPAÑÍAS ESPECIALIZADAS EN SERVICIOS FINANCIEROS, DE SEGURO Y DE VIAJES",Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
20,Bien,11250.9,Conciliada,DISTRITO FEDERAL,19-04-2016,30-12-2015,Mueblería,2015_138088,Personal,En establecimiento físico,Contado,Negativa a la devolución de depósito,INTERMOBEL,No problema especial,Queja,"INTER ESPACIOS COMERCIALIZADORA, SA DE CV",11250.9,11250.9,MUEBLERO,Turnada a Concil Person p/seg,Servicio normal,"Cambios, devoluciones o bonificaciones",Poniente
21,Servicio,559,Conciliada,DISTRITO FEDERAL,11-04-2016,30-12-2015,Empresa de TV de paga (de TV restringida),2015_139453,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,TOTALPLAY,No problema especial,Queja,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Sur
22,Bien,0,Conciliada,DISTRITO FEDERAL,12-07-2016,30-12-2015,"Corredor de bienes raíces, inmobiliaria o constructoras",2015_139450,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"CLASS BIENES RAICES, SA DE CV",No problema especial,Queja,"CLASS BIENES RAICES, SA DE CV",0,60000,INMOBILIARIO,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Sur
23,Bien,2299,Conciliada,DISTRITO FEDERAL,22-06-2016,30-12-2015,Tienda especializada en productos electrónicos,2015_138093,Personal,En establecimiento físico,Contado,Defectos de fabricación,SAMSUNG ELECTRONICS,No problema especial,Queja,"SAMSUNG ELECTRONICS MEXICO, SA DE CV",0,0,TIENDA ESPECIALIZADA EN PRODUCTOS ELECTRÓNICOS,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
24,Bien,2299,Conciliada,DISTRITO FEDERAL,22-06-2016,30-12-2015,Empresa de telefonía celular,2015_138093,Personal,En establecimiento físico,Contado,Defectos de fabricación,MOVISTAR,No problema especial,Queja,"PEGASO PCS, SA DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
25,Bien,21328.53,Conciliada,DISTRITO FEDERAL,12-07-2016,30-12-2015,Tiendas de autoservicio,2015_137719,Personal,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,WAL MART,No problema especial,Queja,"NUEVA WAL MART DE MEXICO, S DE RL DE CV",21328.53,21328.53,TIENDAS DE AUTOSERVICIO,Turnada a Concil Person p/seg,Servicio normal,Garantías,Oriente
26,Bien,21328.53,Conciliada,DISTRITO FEDERAL,12-07-2016,30-12-2015,Taller de reparación de motocicletas,2015_137719,Personal,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,ITALIKA,No problema especial,Queja,"COMERCIALIZADORA DE MOTOCICLETAS DE CALIDAD, SA DE CV",21328.53,21328.53,TALLER DE REPARACIÓN DE MOTOCICLETAS,Turnada a Concil Person p/seg,Servicio normal,Garantías,Oriente
27,Servicio,0,Conciliada,DISTRITO FEDERAL,07-04-2016,29-12-2015,Empresa de telefonía celular,2015_132568,Personal,En establecimiento físico,Contado,Negativa a corregir errores de cobro,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",No problema especial,Queja,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Centro
28,Bien,350,Conciliada,DISTRITO FEDERAL,17-03-2016,29-12-2015,Tienda de electrodomésticos y línea blanca,2015_138082,Personal,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,RAGG ACCESORIOS,No problema especial,Queja,RAGG ACCESORIOS,0,350,TIENDA DE ELECTRODOMÉSTICOS Y LÍNEA BLANCA,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
29,Servicio,0,Conciliada,DISTRITO FEDERAL,05-04-2016,29-12-2015,Empresa de valet parking,2015_139440,Escrito,En establecimiento físico,Contado,Negativa a cambio o devolución,LUIS EDUARDO MARTINEZ MARTINEZ,No problema especial,Queja,LUIS EDUARDO MARTINEZ MARTINEZ,0,11000,EMPRESA DE VALET PARKING,Turnada a Concil Person p/seg,Servicio normal,"Cambios, devoluciones o bonificaciones",Sur
30,Servicio,0,Conciliada,DISTRITO FEDERAL,05-04-2016,29-12-2015,Restaurante,2015_139440,Escrito,En establecimiento físico,Contado,Negativa a cambio o devolución,"GASTRONOMICA CARAPOSTA, SA DE CV",No problema especial,Queja,"GASTRONOMICA CARAPOSTA, SA DE CV",0,11000,RESTAURANTE,Turnada a Concil Person p/seg,Servicio normal,"Cambios, devoluciones o bonificaciones",Sur
31,Bien,5686,Conciliada,DISTRITO FEDERAL,15-03-2016,29-12-2015,Tiendas de autoservicio,2015_138087,Personal,En establecimiento físico,Contado,Garantía sin requisitos de ley,WAL MART,No problema especial,Queja,"NUEVA WAL MART DE MEXICO, S DE RL DE CV",5686,5686,TIENDAS DE AUTOSERVICIO,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
32,Servicio,23000,Conciliada,DISTRITO FEDERAL,14-03-2016,29-12-2015,Taller mecánico (taller de reparación y mantenimiento de autos y camiones),2015_138080,Personal,En establecimiento físico,Plazos,Deficiencia en la reparación,MIGUEL ALBARRAN,No problema especial,Queja,MIGUEL ALBARRAN,0,0,TALLER MECÁNICO,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Poniente
33,Servicio,176120.31,Conciliada,DISTRITO FEDERAL,14-03-2016,29-12-2015,Empresas de tiempo compartido,2015_138079,Personal,En establecimiento físico,Plazos,Negativa a la rescisión del contrato,"VACATION TRAVEL ADVISORY, SA DE CV",No problema especial,Queja,"VACATION TRAVEL ADVISORY, SA DE CV",0,0,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Contratos,Poniente
34,Servicio,389,Conciliada,DISTRITO FEDERAL,02-03-2016,29-12-2015,Empresa de telefonía local,2015_138078,Personal,En establecimiento físico,Plazos,Negativa a la rescisión del contrato,TELMEX,No problema especial,Queja,"TELEFONOS DE MEXICO, SAB DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Contratos,Poniente
35,Servicio,0,Conciliada,DISTRITO FEDERAL,22-06-2016,29-12-2015,Empresa de telefonía local,2015_132563,Personal,En establecimiento físico,Contado,Negativa a corregir errores de cobro,TELMEX,No problema especial,Queja,"TELEFONOS DE MEXICO, SAB DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Centro
36,Servicio,4506,Conciliada,DISTRITO FEDERAL,28-11-2016,29-12-2015,Refaccionaria de partes nuevas,2015_132562,Personal,En establecimiento físico,Contado,Deficiencia en la reparación,TRINIDAD RODRIGUEZ REYES,No problema especial,Queja,TRINIDAD RODRIGUEZ REYES,4506,4506,REFACCIONARIA DE PARTES NUEVAS,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Centro
37,Bien,1794,Conciliada,DISTRITO FEDERAL,04-02-2016,29-12-2015,Empresa de telemarketing,2015_137711,Escrito,Por teléfono,Contado,Negativa a hacer efectiva la garantía,MARKE,No problema especial,Queja,"MARKE, SA DE CV",1255.8,1794,EMPRESA DE TELEMARKETING,Turnada a Concil Person p/seg,Producto nuevo,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
38,Bien,699,Conciliada,DISTRITO FEDERAL,21-04-2016,29-12-2015,Tienda de ropa,2015_139441,Personal,En establecimiento físico,Contado,No respeta descuentos,"GRUPO JULIO, SA DE CV",No problema especial,Queja,"GRUPO JULIO, SA DE CV",200,200,TIENDA DE ROPA,Turnada a Concil Person p/seg,Producto nuevo,"Publicidad, ofertas y promociones",Sur
39,Servicio,2383,Conciliada,DISTRITO FEDERAL,21-04-2016,29-12-2015,Agencias de viajes y servicios de reservaciones,2015_138086,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,DESPEGAR.COM,No problema especial,Queja,"DESPEGAR.COM MEXICO, SA DE CV",5080,1500,TURÍSTICO,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
40,Servicio,2383,Conciliada,DISTRITO FEDERAL,21-04-2016,29-12-2015,Aerolínea comercial,2015_138086,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,AEROMÉXICO,No problema especial,Queja,"AEROVIAS DE MEXICO, SA DE CV",5080,1500,TURÍSTICO,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
41,Bien,246.12,Conciliada,DISTRITO FEDERAL,22-06-2016,29-12-2015,Tienda de electrodomésticos y línea blanca,2015_137714,Escrito,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,"GRUPO ANAVIA, SA DE CV",No problema especial,Queja,"GRUPO ANAVIA, SA DE CV",172.28,172.28,TIENDA DE ELECTRODOMÉSTICOS Y LÍNEA BLANCA,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Oriente
42,Servicio,4100,Conciliada,DISTRITO FEDERAL,21-06-2016,29-12-2015,Taller mecánico (taller de reparación y mantenimiento de autos y camiones),2015_138085,Personal,En establecimiento físico,Plazos,Deficiencia en la reparación,PROPIETARIO DE LA CARCACHITA,No problema especial,Queja,PROPIETARIO DE LA CARCACHITA,4100,0,TALLER MECÁNICO,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Poniente
43,Bien,0,Conciliada,DISTRITO FEDERAL,22-05-2016,29-12-2015,Tienda especializada en productos electrónicos,2015_139443,Escrito,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,SAMSUNG ELECTRONICS,No problema especial,Queja,"SAMSUNG ELECTRONICS MEXICO, SA DE CV",0,0,TIENDA ESPECIALIZADA EN PRODUCTOS ELECTRÓNICOS,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Sur
44,Servicio,290,Conciliada,DISTRITO FEDERAL,01-07-2016,29-12-2015,Suministrador de energía eléctrica,2015_139437,Personal,En establecimiento físico,Contado,Negativa a corregir errores de cobro,CFE,No problema especial,Queja,COMISION FEDERAL DE ELECTRICIDAD,0,0,ELECTRICIDAD,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
45,Bien,15874,Conciliada,DISTRITO FEDERAL,13-10-2016,29-12-2015,Colocador de pisos flexibles y de madera,2015_138077,Personal,A domicilio,Contado,Deficiencia en la reparación,"PISOS PICACHO, SA DE CV",No problema especial,Queja,"PISOS PICACHO, SA DE CV",0,0,COLOCADOR DE PISOS FLEXIBLES Y DE MADERA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
46,Servicio,2069,Conciliada,DISTRITO FEDERAL,27-04-2016,29-12-2015,Empresa de telefonía celular,2015_137713,Escrito,A domicilio,Contado,Descripción del producto o servicio,TELCEL,No problema especial,Queja,"RADIOMOVIL DIPSA, SA DE CV",2069,2069,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
47,Servicio,1700,Conciliada,DISTRITO FEDERAL,08-04-2016,29-12-2015,Empresa de telefonía celular,2015_137712,Escrito,A domicilio,Contado,Incumplimiento de plazos para la entrega del prod. o serv.,TELCEL,No problema especial,Queja,"RADIOMOVIL DIPSA, SA DE CV",1700,1700,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Oriente
48,Bien,6589,Conciliada,DISTRITO FEDERAL,20-05-2016,28-12-2015,Tienda especializada en productos electrónicos,2015_138073,Personal,En establecimiento físico,Contado,Deficiencia en la reparación,"IBUSHAK, SA DE CV",No problema especial,Queja,"IBUSHAK, SA DE CV",6589,6589,TIENDA ESPECIALIZADA EN PRODUCTOS ELECTRÓNICOS,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
49,Bien,1140,Conciliada,DISTRITO FEDERAL,04-04-2016,28-12-2015,Tiendas de autoservicio,2015_139427,Personal,Por internet,Contado,Negativa a la entrega del producto o servicio,WAL MART,No problema especial,Queja,"NUEVA WAL MART DE MEXICO, S DE RL DE CV",1140,1140,TIENDAS DE AUTOSERVICIO,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Sur
50,Servicio,2000,Conciliada,DISTRITO FEDERAL,08-04-2016,28-12-2015,Escuela de arte privado,2015_139433,Personal,En establecimiento físico,Contado,Cobro de cuota extraordinaria,PROPIETARIO DE DANCE FIT IMPULSO AL TALENTO DE MEXICO,No problema especial,Queja,PROPIETARIO DE DANCE FIT IMPULSO AL TALENTO DE MEXICO,0,2200,ESCUELA DE ARTE PRIVADO,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
51,Bien,1257,Conciliada,DISTRITO FEDERAL,30-03-2016,28-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas usados,2015_139426,Personal,En establecimiento físico,Contado,No respeta precios anunciados,"ALDEN VALLEJO, SA DE CV",No problema especial,Queja,"ALDEN VALLEJO, SA DE CV",0,5832.48,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,"Publicidad, ofertas y promociones",Sur
52,Servicio,2403,Conciliada,DISTRITO FEDERAL,16-03-2016,28-12-2015,Empresa de autotransporte federal de pasajeros,2015_137707,Escrito,A domicilio,Contado,Negativa a pago por pérdida del producto,ADO,No problema especial,Queja,"AUTOBUSES DE ORIENTE ADO, SA DE CV",0,0,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Pérdidas o deterioro,Oriente
53,Servicio,346.38,Conciliada,DISTRITO FEDERAL,05-04-2016,28-12-2015,Mensajería y paquetería,2015_139424,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,DHL,No problema especial,Queja,"DHL EXPRESS MEXICO, SA DE CV",0,4000,MENSAJERÍA Y PAQUETERÍA,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Sur
54,Servicio,10011.2,Conciliada,DISTRITO FEDERAL,14-03-2016,28-12-2015,Empresas de tiempo compartido,2015_138072,Personal,A domicilio,Plazos,Negativa a la rescisión del contrato,"DIAMOND HOTELS COZUMEL, SA DE CV",No problema especial,Queja,"DIAMOND HOTELS COZUMEL, SA DE CV",28557,28557,TURÍSTICO,Turnada a Concil Person p/seg,Servicio adicional o conexo,Contratos,Poniente
55,Bien,107600,Conciliada,DISTRITO FEDERAL,09-09-2016,28-12-2015,Compañía de autofinanciamiento,2015_139434,Personal,En establecimiento físico,Autofinanciamiento,Daños durante el proceso de entrega,AUTOFINANCIAMIENTO MEXICO,No problema especial,Queja,"AUTOFINANCIAMIENTO MEXICO, SA DE CV",0,26000,COMPAÑÍA DE AUTOFINANCIAMIENTO,Turnada a Concil Person p/seg,Producto nuevo,Contratos,Sur
56,Servicio,8742,Conciliada,DISTRITO FEDERAL,26-08-2016,28-12-2015,Suministrador de energía eléctrica,2015_139430,Personal,En establecimiento físico,Contado,Error de cálculo,CFE,No problema especial,Queja,COMISION FEDERAL DE ELECTRICIDAD,0,0,ELECTRICIDAD,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
57,Bien,3806.42,Conciliada,DISTRITO FEDERAL,06-06-2016,28-12-2015,Llantera,2015_139428,Personal,En establecimiento físico,Contado,Producto o servicio equivocado,"ASTROLLANTAS MEXICO, SA DE CV",No problema especial,Queja,"ASTROLLANTAS MEXICO, SA DE CV",0,1000,LLANTERA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Sur
58,Servicio,140000,Conciliada,DISTRITO FEDERAL,02-06-2016,28-12-2015,Compañía de autofinanciamiento,2015_138075,Personal,En establecimiento físico,Plazos,Negativa a la rescisión del contrato,"AUTOCLUB AUTOFINANCIAMIENTO, SA DE CV",No problema especial,Queja,"AUTOCLUB AUTOFINANCIAMIENTO, SA DE CV",14584,14584,COMPAÑÍA DE AUTOFINANCIAMIENTO,Turnada a Concil Person p/seg,Servicio normal,Contratos,Poniente
59,Bien,6589,Conciliada,DISTRITO FEDERAL,20-05-2016,28-12-2015,Taller de reparación y mantenimiento de equipo electrónico,2015_138073,Personal,En establecimiento físico,Contado,Deficiencia en la reparación,"REGENERSIS MEXICO, SA DE CV",No problema especial,Queja,"REGENERSIS MEXICO, SA DE CV",6589,6589,TALLER DE REPARACIÓN Y MANTENIMIENTO DE EQUIPO ELECTRÓNICO,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
60,Bien,8967.75,Conciliada,DISTRITO FEDERAL,25-04-2016,24-12-2015,Tienda de equipo de cómputo y oficina,2015_138061,Personal,En establecimiento físico,Contado,Defectos de fabricación,OFFICE DEPOT,No problema especial,Queja,"OFFICE DEPOT DE MEXICO, SA DE CV",0,0,TIENDA DE EQUIPO DE CÓMPUTO Y OFICINA,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
61,Bien,230,Conciliada,DISTRITO FEDERAL,07-04-2016,24-12-2015,"Editora de periódicos, revistas e imprenta",2015_132550,Personal,En establecimiento físico,Contado,Negativa a la rescisión del contrato,EDICIONES CULTURALES INTERNACIONALES,No problema especial,Queja,"EDICIONES CULTURALES INTERNACIONALES, SA DE CV",0,0,"EDITORA DE PERIÓDICOS, REVISTAS E IMPRENTA",Turnada a Concil Person p/seg,Producto nuevo,Contratos,Centro
62,Servicio,55000,Conciliada,DISTRITO FEDERAL,07-03-2016,24-12-2015,Escuela de idiomas privado,2015_137701,Escrito,En establecimiento físico,Plazos,Negativa a hacer efectiva la garantía,"IDIOMAS DE ZARAGOZA, SC",No problema especial,Queja,"IDIOMAS DE ZARAGOZA, SC",27500,0,ESCUELA DE IDIOMAS PRIVADO,Turnada a Concil Person p/seg,Servicio normal,Ausencia de Información al consumidor sobre el producto o servicio,Oriente
63,Bien,7390,Conciliada,DISTRITO FEDERAL,11-03-2016,24-12-2015,Mueblería,2015_138062,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,INGENIA MUEBLES,No problema especial,Queja,"INGENIA MUEBLES, SA DE CV",7390,7390,MUEBLERO,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
